,alpha,beta,delta
0,2.5707377481112723e-08,3.0604020810848474e-08,1.8142979573042997e-09
1,1.501164920694878e-07,1.787101096065331e-07,1.0077978521072442e-08
2,3.969180123562758e-07,4.725214432812807e-07,2.633845742842483e-08
3,7.255509172098539e-07,8.637510919164927e-07,4.7953498844433574e-08
4,9.931978029843257e-07,1.1823783368861018e-06,6.532416220581534e-08
5,1.059316118486545e-06,1.261090617245887e-06,6.971497911467426e-08
6,1.0939072962106361e-06,1.3022705907269477e-06,7.182648905535138e-08
7,1.0572192911343274e-06,1.2585943942075325e-06,6.929074507367298e-08
8,6.404725856677897e-07,7.624673638902258e-07,4.223415130774189e-08
9,4.030012351158342e-07,4.797633751378979e-07,2.646846387395201e-08
10,2.3275512234984053e-07,2.7708943136885776e-07,1.5227074152583392e-08
11,1.1072506413463868e-07,1.3181555254123651e-07,7.388552617815679e-09
12,1.77138221547945e-08,2.1087883517612496e-08,1.202008276297581e-09
13,2.9124643707768317e-09,3.4672194890200374e-09,2.096322093832491e-10
14,5.443505511376012e-10,6.480363704019061e-10,3.968250389034653e-11
