,alpha,beta,delta
0,1.0102793826640758e-07,1.2027135507905665e-07,2.2997817101556275e-09
1,5.524923161916941e-07,6.577289478472548e-07,1.1110234354073296e-08
2,1.425100645925952e-06,1.6965483880070858e-06,2.720942332097398e-08
3,2.6008844525578795e-06,3.096291014949856e-06,4.7889459704669265e-08
4,3.603067444511104e-06,4.289366005370362e-06,6.563483618466281e-08
5,4.035121289254693e-06,4.803715820541301e-06,7.317766446991211e-08
6,3.9956449542708936e-06,4.756720183655825e-06,7.149400412323961e-08
7,3.616962669733174e-06,4.30590794015854e-06,6.291484840511613e-08
8,2.4508695920937885e-06,2.917701895349748e-06,4.4450357980874664e-08
9,1.5268833452101025e-06,1.8177182681072648e-06,2.7734553306056426e-08
10,8.344675988720861e-07,9.934138081810548e-07,1.516590095691168e-08
11,3.658116170793038e-07,4.354900203325045e-07,6.7928587825811336e-09
12,6.75371842370144e-08,8.040140980596953e-08,1.4275268212733027e-09
13,1.1377687386298235e-08,1.3544865936069327e-08,2.683488370825553e-10
14,2.316113978293857e-09,2.7572785455879247e-09,5.6327867115941077e-11
