,alpha,beta,delta
0,5.46872619275272e-08,6.510388324705619e-08,2.6009439089187237e-09
1,3.2570013285458204e-07,3.877382533983119e-07,1.4715249014639014e-08
2,8.287904862173763e-07,9.866553407349718e-07,3.691824307623031e-08
3,1.4916864069590726e-06,1.775817151141753e-06,6.652137423766255e-08
4,2.0839280224536254e-06,2.480866693397173e-06,9.210292364690345e-08
5,2.2493520455166295e-06,2.6778000541864633e-06,9.941606044590197e-08
6,2.2750018939971914e-06,2.708335588091894e-06,1.0082265734169262e-07
7,2.33127497547108e-06,2.7753273517512858e-06,1.0237914327581472e-07
8,1.3359740771750646e-06,1.590445329970315e-06,5.938019776064313e-08
9,8.388660266323382e-07,9.986500317051644e-07,3.708376412567295e-08
10,4.923912392165969e-07,5.861800466864249e-07,2.167914535248281e-08
11,2.3703085415176064e-07,2.821795882759055e-07,1.0635610783340932e-08
12,3.6595370880293354e-08,4.356591771463494e-08,1.6821276168601918e-09
13,6.349245622787058e-09,7.558625741413164e-09,3.063167765607689e-10
14,1.3027755830590174e-09,1.5509233131654969e-09,6.353552277356396e-11
