,alpha,beta,delta
0,2.7787924746489176e-08,3.308086279343949e-08,1.2003822916315335e-09
1,1.562896545640872e-07,1.8605911257629427e-07,5.863749190548027e-09
2,4.238888020792499e-07,5.046295262848212e-07,1.502270569752929e-08
3,7.886432539741654e-07,9.388610166359112e-07,2.704387787217464e-08
4,1.095732472304651e-06,1.3044434194102988e-06,3.711528780252326e-08
5,1.1851330065696796e-06,1.410872626868666e-06,4.003495941589109e-08
6,1.1618558553510809e-06,1.3831617325608104e-06,3.924830329271111e-08
7,1.053728311752444e-06,1.2544384663719572e-06,3.4361334062002315e-08
8,7.248053409656897e-07,8.628635011496306e-07,2.4913076007261128e-08
9,4.444523351915811e-07,5.291099228471203e-07,1.5019907957850405e-08
10,2.431546607126421e-07,2.894698341817168e-07,8.287814002234486e-09
11,1.0776481997542998e-07,1.2829145235170234e-07,3.7198833542882466e-09
12,1.9818994020765848e-08,2.3594040500911722e-08,7.713928817438713e-10
13,2.9985248622736534e-09,3.5696724550876824e-09,1.3749001741693009e-10
14,5.678923471247746e-10,6.760623180056839e-10,2.7485014279257568e-11
