,alpha,beta,delta
0,6.201506990226397e-08,7.382746416936186e-08,1.8300398916416828e-09
1,3.4470874595266454e-07,4.10367554705553e-07,8.974470212041831e-09
2,9.229028127349995e-07,1.0986938246845231e-06,2.2688298434063748e-08
3,1.706154994706345e-06,2.0311368984599344e-06,4.065077673523285e-08
4,2.369978507055236e-06,2.8214029845895663e-06,5.552189921651412e-08
5,2.631665143311296e-06,3.1329346944182094e-06,6.150088283250772e-08
6,2.6040695651432094e-06,3.1000828156466777e-06,6.055910640451699e-08
7,2.3727392180368298e-06,2.82468954528194e-06,5.35248923794233e-08
8,1.586940322870416e-06,1.8892146700838284e-06,3.730144283780493e-08
9,9.89919686680613e-07,1.1784758174769203e-06,2.3239261809711393e-08
10,5.37944372142309e-07,6.404099668360822e-07,1.2637693234016529e-08
11,2.3943921131569667e-07,2.850466801377341e-07,5.72639532545579e-09
12,4.275357834412349e-08,5.0897117076337484e-08,1.1629558720194824e-09
13,6.7516492806415464e-09,8.03767771504946e-09,2.0859811594624854e-10
14,1.3118587429600863e-09,1.5617365987620076e-09,4.233091149107308e-11
